entidad,edad_original,edad,sexo,poblacion
Chiapas,11 Años,11,Mujeres,55485
Chiapas,12 Años,12,Hombres,61490
Chiapas,12 Años,12,Mujeres,58739
Chiapas,13 Años,13,Hombres,55540
Chiapas,13 Años,13,Mujeres,55023
Chiapas,14 Años,14,Hombres,55964
Chiapas,14 Años,14,Mujeres,55260
Chiapas,15 Años,15,Hombres,55095
Chiapas,15 Años,15,Mujeres,55005
Chiapas,16 Años,16,Hombres,51911
Chiapas,16 Años,16,Mujeres,51572
Chiapas,17 Años,17,Hombres,55338
Chiapas,17 Años,17,Mujeres,54429
Chiapas,18 Años,18,Hombres,55751
Chiapas,18 Años,18,Mujeres,55877
Chiapas,19 Años,19,Hombres,44426
Chiapas,19 Años,19,Mujeres,47173
Chiapas,20 Años,20,Hombres,52274
Chiapas,20 Años,20,Mujeres,55533
Chiapas,21 Años,21,Hombres,38359
Chiapas,21 Años,21,Mujeres,40698
Chiapas,22 Años,22,Hombres,45895
Chiapas,22 Años,22,Mujeres,48398
Chiapas,23 Años,23,Hombres,44158
Chiapas,23 Años,23,Mujeres,48126
Chiapas,24 Años,24,Hombres,43046
Chiapas,24 Años,24,Mujeres,48036
Chiapas,25 Años,25,Hombres,44817
Chiapas,25 Años,25,Mujeres,49976
Chiapas,26 Años,26,Hombres,38140
Chiapas,26 Años,26,Mujeres,44299
Chiapas,27 Años,27,Hombres,38703
Chiapas,27 Años,27,Mujeres,43262
Chiapas,28 Años,28,Hombres,40485
Chiapas,28 Años,28,Mujeres,46135
Chiapas,29 Años,29,Hombres,36310
Chiapas,29 Años,29,Mujeres,42276
Chiapas,30 Años,30,Hombres,50630
Chiapas,30 Años,30,Mujeres,56653
Chiapas,31 Años,31,Hombres,27836
Chiapas,31 Años,31,Mujeres,32472
Chiapas,32 Años,32,Hombres,39356
Chiapas,32 Años,32,Mujeres,45048
Chiapas,33 Años,33,Hombres,33137
Chiapas,33 Años,33,Mujeres,39475
Chiapas,34 Años,34,Hombres,33802
Chiapas,34 Años,34,Mujeres,37636
Chiapas,35 Años,35,Hombres,39814
Chiapas,35 Años,35,Mujeres,44610
Chiapas,36 Años,36,Hombres,33436
Chiapas,36 Años,36,Mujeres,39043
Chiapas,37 Años,37,Hombres,30522
Chiapas,37 Años,37,Mujeres,34745
Chiapas,38 Años,38,Hombres,38963
Chiapas,38 Años,38,Mujeres,43738
Chiapas,39 Años,39,Hombres,31535
Chiapas,39 Años,39,Mujeres,36457
Chiapas,40 Años,40,Hombres,46528
Chiapas,40 Años,40,Mujeres,50303
Chiapas,41 Años,41,Hombres,21845
Chiapas,41 Años,41,Mujeres,24511
Chiapas,42 Años,42,Hombres,35521
Chiapas,42 Años,42,Mujeres,38290
Chiapas,43 Años,43,Hombres,27933
Chiapas,43 Años,43,Mujeres,31978
Chiapas,44 Años,44,Hombres,24645
Chiapas,44 Años,44,Mujeres,27650
Chiapas,45 Años,45,Hombres,34367
Chiapas,45 Años,45,Mujeres,36517
Chiapas,46 Años,46,Hombres,24227
Chiapas,46 Años,46,Mujeres,27161
Chiapas,47 Años,47,Hombres,24873
Chiapas,47 Años,47,Mujeres,26778
Chiapas,48 Años,48,Hombres,28357
Chiapas,48 Años,48,Mujeres,31313
Chiapas,49 Años,49,Hombres,23985
Chiapas,49 Años,49,Mujeres,26755
Chiapas,50 Años,50,Hombres,34218
Chiapas,50 Años,50,Mujeres,36525
Chiapas,51 Años,51,Hombres,16812
Chiapas,51 Años,51,Mujeres,17780
Chiapas,52 Años,52,Hombres,24428
Chiapas,52 Años,52,Mujeres,25836
Chiapas,53 Años,53,Hombres,20662
Chiapas,53 Años,53,Mujeres,22867
Chiapas,54 Años,54,Hombres,21037
Chiapas,54 Años,54,Mujeres,23683
Chiapas,55 Años,55,Hombres,23171
Chiapas,55 Años,55,Mujeres,25208
Chiapas,56 Años,56,Hombres,20571
Chiapas,56 Años,56,Mujeres,21407
Chiapas,57 Años,57,Hombres,16307
Chiapas,57 Años,57,Mujeres,17489
Chiapas,58 Años,58,Hombres,18674
Chiapas,58 Años,58,Mujeres,20300
Chiapas,59 Años,59,Hombres,16182
Chiapas,59 Años,59,Mujeres,17046
Chiapas,60 Años,60,Hombres,24307
Chiapas,60 Años,60,Mujeres,25097
Chiapas,61 Años,61,Hombres,10696
Chiapas,61 Años,61,Mujeres,11050
Chiapas,62 Años,62,Hombres,14292
Chiapas,62 Años,62,Mujeres,14757
Chiapas,63 Años,63,Hombres,14096
Chiapas,63 Años,63,Mujeres,14994
Chiapas,64 Años,64,Hombres,14277
Chiapas,64 Años,64,Mujeres,15160
Chiapas,65 Años,65,Hombres,18098
Chiapas,65 Años,65,Mujeres,18833
Chiapas,66 Años,66,Hombres,11533
Chiapas,66 Años,66,Mujeres,11871
Chiapas,67 Años,67,Hombres,11279
Chiapas,67 Años,67,Mujeres,11150
Chiapas,68 Años,68,Hombres,12719
Chiapas,68 Años,68,Mujeres,13332
Chiapas,69 Años,69,Hombres,8406
Chiapas,69 Años,69,Mujeres,8556
Chiapas,70 Años,70,Hombres,14218
Chiapas,70 Años,70,Mujeres,14458
Chiapas,71 Años,71,Hombres,5779
Chiapas,71 Años,71,Mujeres,5401
Chiapas,72 Años,72,Hombres,8931
Chiapas,72 Años,72,Mujeres,8506
Chiapas,73 Años,73,Hombres,7152
Chiapas,73 Años,73,Mujeres,7040
Chiapas,74 Años,74,Hombres,7039
Chiapas,74 Años,74,Mujeres,7331
Chiapas,75 Años,75,Hombres,8779
Chiapas,75 Años,75,Mujeres,8913
Chiapas,76 Años,76,Hombres,6357
Chiapas,76 Años,76,Mujeres,6077
Chiapas,77 Años,77,Hombres,5379
Chiapas,77 Años,77,Mujeres,5378
Chiapas,78 Años,78,Hombres,6929
Chiapas,78 Años,78,Mujeres,6532
Chiapas,79 Años,79,Hombres,4527
Chiapas,79 Años,79,Mujeres,4287
Chiapas,80 Años,80,Hombres,7035
Chiapas,80 Años,80,Mujeres,7442
Chiapas,81 Años,81,Hombres,2675
Chiapas,81 Años,81,Mujeres,2446
Chiapas,82 Años,82,Hombres,3339
Chiapas,82 Años,82,Mujeres,3270
Chiapas,83 Años,83,Hombres,2974
Chiapas,83 Años,83,Mujeres,3030
Chiapas,84 Años,84,Hombres,3024
Chiapas,84 Años,84,Mujeres,3010
Chiapas,85 Años,85,Hombres,3414
Chiapas,85 Años,85,Mujeres,3552
Chiapas,86 Años,86,Hombres,2166
Chiapas,86 Años,86,Mujeres,2325
Chiapas,87 Años,87,Hombres,1911
Chiapas,87 Años,87,Mujeres,2008
Chiapas,88 Años,88,Hombres,1693
Chiapas,88 Años,88,Mujeres,1773
Chiapas,89 Años,89,Hombres,1454
Chiapas,89 Años,89,Mujeres,1543
Chiapas,90 Años,90,Hombres,1977
Chiapas,90 Años,90,Mujeres,2146
Chiapas,91 Años,91,Hombres,592
Chiapas,91 Años,91,Mujeres,591
Chiapas,92 Años,92,Hombres,696
Chiapas,92 Años,92,Mujeres,685
Chiapas,93 Años,93,Hombres,555
Chiapas,93 Años,93,Mujeres,601
Chiapas,94 Años,94,Hombres,480
Chiapas,94 Años,94,Mujeres,530
Chiapas,95 Años,95,Hombres,575
Chiapas,95 Años,95,Mujeres,710
Chiapas,96 Años,96,Hombres,372
Chiapas,96 Años,96,Mujeres,433
Chiapas,97 Años,97,Hombres,275
Chiapas,97 Años,97,Mujeres,294
Chiapas,98 Años,98,Hombres,319
Chiapas,98 Años,98,Mujeres,388
Chiapas,99 Años,99,Hombres,211
Chiapas,99 Años,99,Mujeres,278
Chiapas,100 años y más,100,Hombres,651
Chiapas,100 años y más,100,Mujeres,798
Chiapas,No especificado,NA,Hombres,13901
Chiapas,No especificado,NA,Mujeres,13943
Chihuahua,0 Años,0,Hombres,25323
Chihuahua,0 Años,0,Mujeres,24635
Chihuahua,1 Año,1,Hombres,27385
Chihuahua,1 Año,1,Mujeres,26001
Chihuahua,2 Años,2,Hombres,30776
Chihuahua,2 Años,2,Mujeres,29830
Chihuahua,3 Años,3,Hombres,31879
Chihuahua,3 Años,3,Mujeres,31651
Chihuahua,4 Años,4,Hombres,32247
Chihuahua,4 Años,4,Mujeres,31559
Chihuahua,5 Años,5,Hombres,33035
Chihuahua,5 Años,5,Mujeres,31335
Chihuahua,6 Años,6,Hombres,31596
Chihuahua,6 Años,6,Mujeres,30981
Chihuahua,7 Años,7,Hombres,31616
Chihuahua,7 Años,7,Mujeres,30976
Chihuahua,8 Años,8,Hombres,33957
Chihuahua,8 Años,8,Mujeres,32364
Chihuahua,9 Años,9,Hombres,30978
Chihuahua,9 Años,9,Mujeres,30484
Chihuahua,10 Años,10,Hombres,35513
Chihuahua,10 Años,10,Mujeres,33840
Chihuahua,11 Años,11,Hombres,32372
Chihuahua,11 Años,11,Mujeres,31230
Chihuahua,12 Años,12,Hombres,35572
Chihuahua,12 Años,12,Mujeres,34022
Chihuahua,13 Años,13,Hombres,33246
Chihuahua,13 Años,13,Mujeres,32288
Chihuahua,14 Años,14,Hombres,32912
Chihuahua,14 Años,14,Mujeres,32720
Chihuahua,15 Años,15,Hombres,33734
Chihuahua,15 Años,15,Mujeres,32563
Chihuahua,16 Años,16,Hombres,32229
Chihuahua,16 Años,16,Mujeres,31237
Chihuahua,17 Años,17,Hombres,33406
Chihuahua,17 Años,17,Mujeres,32045
Chihuahua,18 Años,18,Hombres,35605
Chihuahua,18 Años,18,Mujeres,34111
Chihuahua,19 Años,19,Hombres,30968
Chihuahua,19 Años,19,Mujeres,30435
Chihuahua,20 Años,20,Hombres,35240
Chihuahua,20 Años,20,Mujeres,34840
Chihuahua,21 Años,21,Hombres,30377
Chihuahua,21 Años,21,Mujeres,29934
Chihuahua,22 Años,22,Hombres,31799
Chihuahua,22 Años,22,Mujeres,31352
Chihuahua,23 Años,23,Hombres,30324
Chihuahua,23 Años,23,Mujeres,30513
Chihuahua,24 Años,24,Hombres,29541
Chihuahua,24 Años,24,Mujeres,30147
Chihuahua,25 Años,25,Hombres,32360
Chihuahua,25 Años,25,Mujeres,32597
Chihuahua,26 Años,26,Hombres,29006
Chihuahua,26 Años,26,Mujeres,29971
Chihuahua,27 Años,27,Hombres,28643
Chihuahua,27 Años,27,Mujeres,29352
Chihuahua,28 Años,28,Hombres,30612
Chihuahua,28 Años,28,Mujeres,30564
Chihuahua,29 Años,29,Hombres,27223
Chihuahua,29 Años,29,Mujeres,27971
Chihuahua,30 Años,30,Hombres,34444
Chihuahua,30 Años,30,Mujeres,34942
Chihuahua,31 Años,31,Hombres,22489
Chihuahua,31 Años,31,Mujeres,23757
Chihuahua,32 Años,32,Hombres,29176
Chihuahua,32 Años,32,Mujeres,29803
Chihuahua,33 Años,33,Hombres,24665
Chihuahua,33 Años,33,Mujeres,25923
Chihuahua,34 Años,34,Hombres,24875
Chihuahua,34 Años,34,Mujeres,25570
Chihuahua,35 Años,35,Hombres,29094
Chihuahua,35 Años,35,Mujeres,29550
Chihuahua,36 Años,36,Hombres,26832
Chihuahua,36 Años,36,Mujeres,27320
Chihuahua,37 Años,37,Hombres,23056
Chihuahua,37 Años,37,Mujeres,23713
Chihuahua,38 Años,38,Hombres,28349
Chihuahua,38 Años,38,Mujeres,28338
Chihuahua,39 Años,39,Hombres,23281
Chihuahua,39 Años,39,Mujeres,24136
Chihuahua,40 Años,40,Hombres,31448
Chihuahua,40 Años,40,Mujeres,31386
Chihuahua,41 Años,41,Hombres,19424
Chihuahua,41 Años,41,Mujeres,20605
Chihuahua,42 Años,42,Hombres,28396
Chihuahua,42 Años,42,Mujeres,28342
Chihuahua,43 Años,43,Hombres,24177
Chihuahua,43 Años,43,Mujeres,24892
Chihuahua,44 Años,44,Hombres,20909
Chihuahua,44 Años,44,Mujeres,22404
Chihuahua,45 Años,45,Hombres,29508
Chihuahua,45 Años,45,Mujeres,29356
Chihuahua,46 Años,46,Hombres,23183
Chihuahua,46 Años,46,Mujeres,24201
Chihuahua,47 Años,47,Hombres,23718
Chihuahua,47 Años,47,Mujeres,24175
Chihuahua,48 Años,48,Hombres,24998
Chihuahua,48 Años,48,Mujeres,25178
Chihuahua,49 Años,49,Hombres,21831
Chihuahua,49 Años,49,Mujeres,22374
Chihuahua,50 Años,50,Hombres,28491
Chihuahua,50 Años,50,Mujeres,29124
Chihuahua,51 Años,51,Hombres,17282
Chihuahua,51 Años,51,Mujeres,17824
Chihuahua,52 Años,52,Hombres,23117
Chihuahua,52 Años,52,Mujeres,23948
Chihuahua,53 Años,53,Hombres,19497
Chihuahua,53 Años,53,Mujeres,20256
Chihuahua,54 Años,54,Hombres,19217
Chihuahua,54 Años,54,Mujeres,21174
Chihuahua,55 Años,55,Hombres,19465
Chihuahua,55 Años,55,Mujeres,20475
Chihuahua,56 Años,56,Hombres,18604
Chihuahua,56 Años,56,Mujeres,19328
Chihuahua,57 Años,57,Hombres,14941
Chihuahua,57 Años,57,Mujeres,16186
Chihuahua,58 Años,58,Hombres,16458
Chihuahua,58 Años,58,Mujeres,17788
Chihuahua,59 Años,59,Hombres,14560
Chihuahua,59 Años,59,Mujeres,15834
Chihuahua,60 Años,60,Hombres,18772
Chihuahua,60 Años,60,Mujeres,20686
Chihuahua,61 Años,61,Hombres,10600
Chihuahua,61 Años,61,Mujeres,11943
Chihuahua,62 Años,62,Hombres,13596
Chihuahua,62 Años,62,Mujeres,15312
Chihuahua,63 Años,63,Hombres,12572
Chihuahua,63 Años,63,Mujeres,13973
Chihuahua,64 Años,64,Hombres,10990
Chihuahua,64 Años,64,Mujeres,12417
Chihuahua,65 Años,65,Hombres,13170
Chihuahua,65 Años,65,Mujeres,14514
Chihuahua,66 Años,66,Hombres,8695
Chihuahua,66 Años,66,Mujeres,9727
Chihuahua,67 Años,67,Hombres,8333
Chihuahua,67 Años,67,Mujeres,9593
Chihuahua,68 Años,68,Hombres,9740
Chihuahua,68 Años,68,Mujeres,11480
Chihuahua,69 Años,69,Hombres,7315
Chihuahua,69 Años,69,Mujeres,8377
Chihuahua,70 Años,70,Hombres,9040
Chihuahua,70 Años,70,Mujeres,10669
Chihuahua,71 Años,71,Hombres,5605
Chihuahua,71 Años,71,Mujeres,6443
Chihuahua,72 Años,72,Hombres,7721
Chihuahua,72 Años,72,Mujeres,8826
Chihuahua,73 Años,73,Hombres,6080
Chihuahua,73 Años,73,Mujeres,6956
Chihuahua,74 Años,74,Hombres,5741
Chihuahua,74 Años,74,Mujeres,6937
Chihuahua,75 Años,75,Hombres,6222
Chihuahua,75 Años,75,Mujeres,6955
Chihuahua,76 Años,76,Hombres,4840
Chihuahua,76 Años,76,Mujeres,5651
Chihuahua,77 Años,77,Hombres,4186
Chihuahua,77 Años,77,Mujeres,4936
Chihuahua,78 Años,78,Hombres,4671
Chihuahua,78 Años,78,Mujeres,5198
Chihuahua,79 Años,79,Hombres,3554
Chihuahua,79 Años,79,Mujeres,4052
Chihuahua,80 Años,80,Hombres,4386
Chihuahua,80 Años,80,Mujeres,5211
Chihuahua,81 Años,81,Hombres,2315
Chihuahua,81 Años,81,Mujeres,2767
Chihuahua,82 Años,82,Hombres,2861
Chihuahua,82 Años,82,Mujeres,3356
Chihuahua,83 Años,83,Hombres,2462
Chihuahua,83 Años,83,Mujeres,2993
Chihuahua,84 Años,84,Hombres,2249
Chihuahua,84 Años,84,Mujeres,2787
Chihuahua,85 Años,85,Hombres,2027
Chihuahua,85 Años,85,Mujeres,2596
Chihuahua,86 Años,86,Hombres,1508
Chihuahua,86 Años,86,Mujeres,2009
Chihuahua,87 Años,87,Hombres,1274
Chihuahua,87 Años,87,Mujeres,1600
Chihuahua,88 Años,88,Hombres,960
Chihuahua,88 Años,88,Mujeres,1271
Chihuahua,89 Años,89,Hombres,816
Chihuahua,89 Años,89,Mujeres,1189
Chihuahua,90 Años,90,Hombres,768
Chihuahua,90 Años,90,Mujeres,1113
Chihuahua,91 Años,91,Hombres,397
Chihuahua,91 Años,91,Mujeres,557
Chihuahua,92 Años,92,Hombres,369
Chihuahua,92 Años,92,Mujeres,630
Chihuahua,93 Años,93,Hombres,324
Chihuahua,93 Años,93,Mujeres,523
Chihuahua,94 Años,94,Hombres,272
Chihuahua,94 Años,94,Mujeres,423
Chihuahua,95 Años,95,Hombres,188
Chihuahua,95 Años,95,Mujeres,322
Chihuahua,96 Años,96,Hombres,126
Chihuahua,96 Años,96,Mujeres,218
Chihuahua,97 Años,97,Hombres,94
Chihuahua,97 Años,97,Mujeres,143
Chihuahua,98 Años,98,Hombres,79
Chihuahua,98 Años,98,Mujeres,161
Chihuahua,99 Años,99,Hombres,44
Chihuahua,99 Años,99,Mujeres,102
Chihuahua,100 años y más,100,Hombres,88
Chihuahua,100 años y más,100,Mujeres,155
Chihuahua,No especificado,NA,Hombres,3813
Chihuahua,No especificado,NA,Mujeres,3826
Ciudad de México,0 Años,0,Hombres,41310
Ciudad de México,0 Años,0,Mujeres,40226
Ciudad de México,1 Año,1,Hombres,45221
Ciudad de México,1 Año,1,Mujeres,43904
Ciudad de México,2 Años,2,Hombres,48900
Ciudad de México,2 Años,2,Mujeres,47590
Ciudad de México,3 Años,3,Hombres,52090
Ciudad de México,3 Años,3,Mujeres,51251
Ciudad de México,4 Años,4,Hombres,55356
Ciudad de México,4 Años,4,Mujeres,54056
Ciudad de México,5 Años,5,Hombres,57159
Ciudad de México,5 Años,5,Mujeres,55030
Ciudad de México,6 Años,6,Hombres,55516
Ciudad de México,6 Años,6,Mujeres,53875
Ciudad de México,7 Años,7,Hombres,57012
Ciudad de México,7 Años,7,Mujeres,55861
Ciudad de México,8 Años,8,Hombres,60489
Ciudad de México,8 Años,8,Mujeres,57965
Ciudad de México,9 Años,9,Hombres,56104
Ciudad de México,9 Años,9,Mujeres,54896
Ciudad de México,10 Años,10,Hombres,64608
Ciudad de México,10 Años,10,Mujeres,61279
Ciudad de México,11 Años,11,Hombres,58410
Ciudad de México,11 Años,11,Mujeres,56711
Ciudad de México,12 Años,12,Hombres,63974
Ciudad de México,12 Años,12,Mujeres,61967
Ciudad de México,13 Años,13,Hombres,60848
Ciudad de México,13 Años,13,Mujeres,59275
Ciudad de México,14 Años,14,Hombres,61300
Ciudad de México,14 Años,14,Mujeres,60590
Ciudad de México,15 Años,15,Hombres,65006
Ciudad de México,15 Años,15,Mujeres,62334
Ciudad de México,16 Años,16,Hombres,62331
Ciudad de México,16 Años,16,Mujeres,60084
Ciudad de México,17 Años,17,Hombres,66533
Ciudad de México,17 Años,17,Mujeres,64520
Ciudad de México,18 Años,18,Hombres,73588
Ciudad de México,18 Años,18,Mujeres,70109
Ciudad de México,19 Años,19,Hombres,63651
Ciudad de México,19 Años,19,Mujeres,62233
Ciudad de México,20 Años,20,Hombres,76925
Ciudad de México,20 Años,20,Mujeres,75958
Ciudad de México,21 Años,21,Hombres,65672
Ciudad de México,21 Años,21,Mujeres,63366
Ciudad de México,22 Años,22,Hombres,74544
Ciudad de México,22 Años,22,Mujeres,73838
Ciudad de México,23 Años,23,Hombres,70595
Ciudad de México,23 Años,23,Mujeres,70487
Ciudad de México,24 Años,24,Hombres,71313
Ciudad de México,24 Años,24,Mujeres,71907
Ciudad de México,25 Años,25,Hombres,80604
Ciudad de México,25 Años,25,Mujeres,82156
Ciudad de México,26 Años,26,Hombres,72543
Ciudad de México,26 Años,26,Mujeres,75073
Ciudad de México,27 Años,27,Hombres,72799
Ciudad de México,27 Años,27,Mujeres,73558
Ciudad de México,28 Años,28,Hombres,78713
Ciudad de México,28 Años,28,Mujeres,79210
Ciudad de México,29 Años,29,Hombres,67422
Ciudad de México,29 Años,29,Mujeres,70211
Ciudad de México,30 Años,30,Hombres,93636
Ciudad de México,30 Años,30,Mujeres,96487
Ciudad de México,31 Años,31,Hombres,58262
Ciudad de México,31 Años,31,Mujeres,61406
Ciudad de México,32 Años,32,Hombres,76596
Ciudad de México,32 Años,32,Mujeres,81325
Ciudad de México,33 Años,33,Hombres,69087
Ciudad de México,33 Años,33,Mujeres,71917
Ciudad de México,34 Años,34,Hombres,65867
Ciudad de México,34 Años,34,Mujeres,69028
Ciudad de México,35 Años,35,Hombres,79816
Ciudad de México,35 Años,35,Mujeres,83962
Ciudad de México,36 Años,36,Hombres,69313
Ciudad de México,36 Años,36,Mujeres,74894
Ciudad de México,37 Años,37,Hombres,59249
Ciudad de México,37 Años,37,Mujeres,63323
Ciudad de México,38 Años,38,Hombres,73832
Ciudad de México,38 Años,38,Mujeres,78075
Ciudad de México,39 Años,39,Hombres,58335
Ciudad de México,39 Años,39,Mujeres,65051
Ciudad de México,40 Años,40,Hombres,84548
Ciudad de México,40 Años,40,Mujeres,93207
Ciudad de México,41 Años,41,Hombres,47909
Ciudad de México,41 Años,41,Mujeres,52961
Ciudad de México,42 Años,42,Hombres,72053
Ciudad de México,42 Años,42,Mujeres,79888
Ciudad de México,43 Años,43,Hombres,59009
Ciudad de México,43 Años,43,Mujeres,67136
Ciudad de México,44 Años,44,Hombres,53793
Ciudad de México,44 Años,44,Mujeres,59803
Ciudad de México,45 Años,45,Hombres,76780
Ciudad de México,45 Años,45,Mujeres,85039
Ciudad de México,46 Años,46,Hombres,59347
Ciudad de México,46 Años,46,Mujeres,67815
Ciudad de México,47 Años,47,Hombres,59267
Ciudad de México,47 Años,47,Mujeres,66846
Ciudad de México,48 Años,48,Hombres,62654
Ciudad de México,48 Años,48,Mujeres,70838
Ciudad de México,49 Años,49,Hombres,55798
Ciudad de México,49 Años,49,Mujeres,64561
Ciudad de México,50 Años,50,Hombres,78192
Ciudad de México,50 Años,50,Mujeres,90453
Ciudad de México,51 Años,51,Hombres,44170
Ciudad de México,51 Años,51,Mujeres,52346
Ciudad de México,52 Años,52,Hombres,61913
Ciudad de México,52 Años,52,Mujeres,71488
Ciudad de México,53 Años,53,Hombres,51249
Ciudad de México,53 Años,53,Mujeres,60175
Ciudad de México,54 Años,54,Hombres,50870
Ciudad de México,54 Años,54,Mujeres,62627
Ciudad de México,55 Años,55,Hombres,54300
Ciudad de México,55 Años,55,Mujeres,64480
Ciudad de México,56 Años,56,Hombres,53456
Ciudad de México,56 Años,56,Mujeres,62816
Ciudad de México,57 Años,57,Hombres,42393
Ciudad de México,57 Años,57,Mujeres,51342
Ciudad de México,58 Años,58,Hombres,47237
Ciudad de México,58 Años,58,Mujeres,56724
Ciudad de México,59 Años,59,Hombres,42265
Ciudad de México,59 Años,59,Mujeres,51434
Ciudad de México,60 Años,60,Hombres,58093
Ciudad de México,60 Años,60,Mujeres,71077
Ciudad de México,61 Años,61,Hombres,32496
Ciudad de México,61 Años,61,Mujeres,41209
Ciudad de México,62 Años,62,Hombres,42892
Ciudad de México,62 Años,62,Mujeres,53188
Ciudad de México,63 Años,63,Hombres,39272
Ciudad de México,63 Años,63,Mujeres,49053
Ciudad de México,64 Años,64,Hombres,36312
Ciudad de México,64 Años,64,Mujeres,45922
Ciudad de México,65 Años,65,Hombres,43113
Ciudad de México,65 Años,65,Mujeres,53921
Ciudad de México,66 Años,66,Hombres,28731
Ciudad de México,66 Años,66,Mujeres,36329
Ciudad de México,67 Años,67,Hombres,28729
Ciudad de México,67 Años,67,Mujeres,35548
Ciudad de México,68 Años,68,Hombres,32104
Ciudad de México,68 Años,68,Mujeres,41388
Ciudad de México,69 Años,69,Hombres,24568
Ciudad de México,69 Años,69,Mujeres,31765
Ciudad de México,70 Años,70,Hombres,30427
Ciudad de México,70 Años,70,Mujeres,39622
Ciudad de México,71 Años,71,Hombres,18884
Ciudad de México,71 Años,71,Mujeres,24810
Ciudad de México,72 Años,72,Hombres,25900
Ciudad de México,72 Años,72,Mujeres,34010
Ciudad de México,73 Años,73,Hombres,20874
Ciudad de México,73 Años,73,Mujeres,27899
Ciudad de México,74 Años,74,Hombres,19045
Ciudad de México,74 Años,74,Mujeres,26273
Ciudad de México,75 Años,75,Hombres,19520
Ciudad de México,75 Años,75,Mujeres,26465
Ciudad de México,76 Años,76,Hombres,15886
Ciudad de México,76 Años,76,Mujeres,21929
Ciudad de México,77 Años,77,Hombres,12771
Ciudad de México,77 Años,77,Mujeres,17303
Ciudad de México,78 Años,78,Hombres,14343
Ciudad de México,78 Años,78,Mujeres,19452
Ciudad de México,79 Años,79,Hombres,11690
Ciudad de México,79 Años,79,Mujeres,15856
Ciudad de México,80 Años,80,Hombres,13077
Ciudad de México,80 Años,80,Mujeres,19828
Ciudad de México,81 Años,81,Hombres,7766
Ciudad de México,81 Años,81,Mujeres,11338
Ciudad de México,82 Años,82,Hombres,9590
Ciudad de México,82 Años,82,Mujeres,14355
Ciudad de México,83 Años,83,Hombres,8218
Ciudad de México,83 Años,83,Mujeres,13339
Ciudad de México,84 Años,84,Hombres,7443
Ciudad de México,84 Años,84,Mujeres,12526
Ciudad de México,85 Años,85,Hombres,7128
Ciudad de México,85 Años,85,Mujeres,11877
Ciudad de México,86 Años,86,Hombres,5611
Ciudad de México,86 Años,86,Mujeres,9511
Ciudad de México,87 Años,87,Hombres,4590
Ciudad de México,87 Años,87,Mujeres,8108
Ciudad de México,88 Años,88,Hombres,3589
Ciudad de México,88 Años,88,Mujeres,6379
Ciudad de México,89 Años,89,Hombres,3360
Ciudad de México,89 Años,89,Mujeres,6163
Ciudad de México,90 Años,90,Hombres,3224
Ciudad de México,90 Años,90,Mujeres,6244
Ciudad de México,91 Años,91,Hombres,1618
Ciudad de México,91 Años,91,Mujeres,3322
Ciudad de México,92 Años,92,Hombres,1858
Ciudad de México,92 Años,92,Mujeres,4034
Ciudad de México,93 Años,93,Hombres,1447
Ciudad de México,93 Años,93,Mujeres,3167
Ciudad de México,94 Años,94,Hombres,1161
Ciudad de México,94 Años,94,Mujeres,2705
Ciudad de México,95 Años,95,Hombres,894
Ciudad de México,95 Años,95,Mujeres,2040
Ciudad de México,96 Años,96,Hombres,678
Ciudad de México,96 Años,96,Mujeres,1482
Ciudad de México,97 Años,97,Hombres,507
Ciudad de México,97 Años,97,Mujeres,1214
Ciudad de México,98 Años,98,Hombres,418
Ciudad de México,98 Años,98,Mujeres,999
Ciudad de México,99 Años,99,Hombres,228
Ciudad de México,99 Años,99,Mujeres,606
Ciudad de México,100 años y más,100,Hombres,357
Ciudad de México,100 años y más,100,Mujeres,951
Ciudad de México,No especificado,NA,Hombres,4783
Ciudad de México,No especificado,NA,Mujeres,4843
Durango,0 Años,0,Hombres,15034
Durango,0 Años,0,Mujeres,14631
Durango,1 Año,1,Hombres,16070
Durango,1 Año,1,Mujeres,15679
Durango,2 Años,2,Hombres,17485
Durango,2 Años,2,Mujeres,16894
Durango,3 Años,3,Hombres,18140
Durango,3 Años,3,Mujeres,17488
Durango,4 Años,4,Hombres,18352
Durango,4 Años,4,Mujeres,17827
Durango,5 Años,5,Hombres,18468
Durango,5 Años,5,Mujeres,17666
Durango,6 Años,6,Hombres,17595
Durango,6 Años,6,Mujeres,16936
Durango,7 Años,7,Hombres,17927
Durango,7 Años,7,Mujeres,16988
Durango,8 Años,8,Hombres,18645
Durango,8 Años,8,Mujeres,17672
Durango,9 Años,9,Hombres,17181
Durango,9 Años,9,Mujeres,16955
Durango,10 Años,10,Hombres,18755
Durango,10 Años,10,Mujeres,17883
Durango,11 Años,11,Hombres,16940
Durango,11 Años,11,Mujeres,16143
Durango,12 Años,12,Hombres,17642
Durango,12 Años,12,Mujeres,16948
Durango,13 Años,13,Hombres,16641
Durango,13 Años,13,Mujeres,16504
Durango,14 Años,14,Hombres,16786
Durango,14 Años,14,Mujeres,16029
Durango,15 Años,15,Hombres,16904
Durango,15 Años,15,Mujeres,16153
Durango,16 Años,16,Hombres,16093
Durango,16 Años,16,Mujeres,15749
Durango,17 Años,17,Hombres,16996
Durango,17 Años,17,Mujeres,16547
Durango,18 Años,18,Hombres,17820
Durango,18 Años,18,Mujeres,16722
